Joshua Project People Group Data

ROL3,Language,NbrPGICs,NbrCountries,Status,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID
cko,Anufo,3,3,L,4,,2006-2010,1993,Y,Y,cko
aui,Anuki,1,1,L,3,,,2009,N,Y,aui
auq,Anus,1,1,L,0,,,,N,Y,
aud,Anuta,1,1,N,0,,,,N,N,
any,Anyin,3,2,L,4,,1997,1927-1993,Y,Y,any
mtb,"Anyin Morofo",1,1,L,2,,,,N,Y,
pni,Aoheng,1,1,L,1,,,,N,N,
kbx,"Ap Ma",1,1,L,3,,,1990-2011,N,Y,
apj,"Apache, Jicarilla",1,1,L,3,,,1965,N,Y,
apk,"Apache, Kiowa",,,N,0,,,,N,N,
apl,"Apache, Lipan",,,N,0,,,,N,N,
apm,"Apache, Mescalero-Chiricahua",1,1,N,0,,,,N,Y,
apw,"Apache, Western",1,1,L,4,,1966-2012,1958,N,Y,apw
ena,Apal,1,1,L,4,,2022,1992-2005,N,Y,ena
apy,Apalai,1,1,L,5,2017,1986,1972-1975,Y,Y,apy
apt,Apatani,16,,L,4,,2004-2014,Yes,N,Y,apt
api,Apiaka,,,N,0,,,,N,N,
apn,Apinaye,1,1,L,4,,1999-2010,1967-1989,Y,Y,apn
app,Apma,1,1,L,3,,,1971-2016,N,Y,4110
apu,Apurina,1,1,L,4,,2004,1993,Y,Y,apu
apx,Aputai,,,N,0,,,,N,N,
ard,Arabana,,,N,0,,,,N,N,
arl,Arabela,1,1,N,4,,1986-2008,1965-2002,N,Y,arl
arq,"Arabic, Algerian",27,19,L,4,,1965-2020,1872-1964,Y,Y,arq
aao,"Arabic, Algerian Saharan",10,6,L,3,,,1992,Y,Y,
abv,"Arabic, Baharna",3,3,L,2,,,,N,Y,
shu,"Arabic, Chadian",11,6,L,5,2019-2025,2012,1964,Y,Y,shu
acy,"Arabic, Cypriot",1,1,L,0,,,,N,Y,
adf,"Arabic, Dhofari",1,1,L,2,,,,N,Y,
avl,"Arabic, Eastern Egyptian Bedawi",7,6,L,3,,,2004,Y,Y,
arz,"Arabic, Egyptian",37,32,L,5,2021,1932,1905-2007,Y,Y,arz
afb,"Arabic, Gulf",17,13,L,3,,,2009-2024,Y,Y,3901
ayh,"Arabic, Hadrami",1,1,L,3,,,1999-2016,N,Y,ayh
acw,"Arabic, Hijazi",7,7,L,3,,,2024,Y,Y,3878
pga,"Arabic, Juba",4,4,L,3,,,1983-2024,Y,Y,
yhd,"Arabic, Judeo-Iraqi",2,2,L,0,,,,N,Y,
aju,"Arabic, Judeo-Moroccan",4,4,L,0,,,,N,Y,
yud,"Arabic, Judeo-Tripolitanian",1,1,L,0,,,,N,Y,
jye,"Arabic, Judeo-Yemeni",2,2,L,0,,,,N,Y,
apc,"Arabic, Levantine",125,70,L,4,,Yes,1939-2021,Y,Y,apc
ayl,"Arabic, Libyan",25,13,L,4,,Yes,2021-2025,Y,Y,
acm,"Arabic, Mesopotamian",28,25,L,4,,2005-2024,Yes,Y,Y,3944
ary,"Arabic, Moroccan",29,26,L,5,1963,2012,1902-1952,Y,Y,ary
ars,"Arabic, Najdi",11,10,L,3,,,2004-2013,N,Y,
ayp,"Arabic, North Mesopotamian",9,9,L,4,,2012,Yes,Y,Y,
acx,"Arabic, Omani",9,7,L,2,,,,N,Y,
aec,"Arabic, Sa'idi",3,2,L,3,,,Yes,Y,Y,
ayn,"Arabic, Sanaani",4,4,L,3,,,2026,Y,Y,
ssh,"Arabic, Shihhi",2,2,L,2,,,,N,Y,
arb,"Arabic, Standard",,,L,5,1645-2016,1980-1982,1984,Y,Y,arb
apd,"Arabic, Sudanese",115,26,L,4,,1978-2022,1927-1964,Y,Y,apd
acq,"Arabic, Ta'izzi-Adeni",18,15,L,3,,,2024,Y,Y,
abh,"Arabic, Tajiki",2,2,L,0,,,,N,Y,
aeb,"Arabic, Tunisian",18,13,L,4,,1847-2019,1903–2014,Y,Y,aeb
auz,"Arabic, Uzbeki",7,7,N,0,,,,N,Y,
arg,Aragonese,1,1,L,4,,2013,2008,N,Y,
atq,Aralle-Tabulahan,2,1,L,4,,2004,1999-2000,Y,Y,atq
stk,Aramba,1,1,L,3,,,1997-2008,Y,Y,
aaf,Aranadan,1,,L,2,,,,N,Y,
jbj,Arandai,1,1,L,2,,,,N,Y,
aro,Araona,1,1,L,3,,,1974-1984,N,Y,
arp,Arapaho,1,1,N,3,,,1903,N,Y,arp
arj,Arapaso,,,N,0,,,,N,N,
aah,"Arapesh, Abu'",1,1,L,1,,,,N,N,
axg,"Arara, Mato Grosso",1,1,N,0,,,,N,N,
aap,"Arara, Para",1,1,L,3,,,2022,N,Y,
arw,Arawak,5,5,N,3,,,1799-1978,N,Y,
awt,Arawete,1,1,L,2,,,,N,N,
arv,Arbore,1,1,L,3,,,2023,Y,Y,
aqc,Archi,1,1,L,2,,,,N,N,
mwc,Are,1,1,L,5,1925,1921,1904-2011,Y,Y,mwc
alu,Areare,1,1,L,3,,,1957-2023,N,Y,alu
aem,Arem,2,2,N,2,,,,N,N,
aed,"Argentine Sign Language",1,1,L,3,,,2016-2025,N,N,
agj,Argobba,1,1,L,2,,,,N,N,
agf,Arguni,1,1,L,2,,,,N,Y,
aqr,Arha,1,1,N,0,,,,N,N,
aok,Arho,,,N,0,,,,N,N,
arh,Arhuaco,1,1,L,3,,,2003-2007,N,Y,
aac,Ari,1,1,L,2,,,,N,Y,
ylu,Aribwaung,1,1,L,2,,,,N,N,
aqg,Arigidi,,,L,3,,,1921,N,Y,
ark,Arikapu,,,N,0,,,,N,N,
ari,Arikara,,,N,3,,,1905,N,N,
luc,Aringa,1,1,L,4,,2013,2003-2008,Y,Y,luc
hye,Armenian,3,3,L,5,1666-2017,Yes,Yes,Y,Y,hye
aen,"Armenian Sign Language",,,L,3,,,2018-2025,N,N,
hyw,"Armenian, Western",31,31,L,5,1853-1984,Yes,Yes,Y,Y,hyw
tei,Aro,1,1,L,2,,,,N,Y,
rup,Aromanian,7,7,L,4,,Yes,1881-2016,Y,N,rup
apr,Arop-Lokep,2,1,L,4,,2013-2022,1990-2003,N,Y,apr
aia,Arosi,1,1,L,4,,2004-2005,1905-2002,Y,Y,aia
frp,Arpitan,3,3,L,4,,1890,1830-1848,N,N,
are,"Arrarnta, Western",1,1,L,4,,1956-1997,1925-1928,N,Y,
aer,"Arrernte, Eastern",1,1,L,4,,2016-2017,Yes,N,Y,aer
atz,Arta,1,1,N,0,,,,N,N,
arx,Arua,1,1,N,0,,,,N,Y,
msy,Aruamu,1,1,L,5,2020,2004-2005,1996-2010,N,Y,msy
aur,Aruek,1,1,L,1,,,,N,N,
aab,Arum,1,1,L,4,,Yes,Yes,N,Y,
lsr,Aruop,1,1,L,1,,,,N,Y,
atx,Arutani,,,N,0,,,,N,N,
asz,As,1,1,N,2,,,,N,N,
seo,Asaba,1,1,L,1,,,,N,N,
mtv,Asaro'o,1,1,L,3,,,2016-2018,N,N,
cni,Ashaninka,1,1,L,4,,1972-2015,1960-2005,Y,Y,cni
ahs,Ashe,1,1,L,3,,,2022,N,Y,
cjo,"Asheninka, Pajonal",1,1,L,4,,2002-2008,1976-1986,N,Y,cjo
prq,"Asheninka, Perene",1,1,L,4,,2015,2015,N,N,prq
cpu,"Asheninka, Pichis",2,2,L,4,,1996-2008,1982-1987,Y,N,cpu
cpy,"Asheninka, South Ucayali",1,1,L,4,,2008-2015,1976–2015,N,N,cpy
cpb,"Asheninka, Ucayali-Yurua",2,2,L,4,,2000,2000,N,N,cpb
ask,Ashkun,1,1,L,2,,,,N,Y,
atn,Ashtiani,1,1,L,0,,,,N,N,
asl,Asilulu,1,1,L,1,,,,N,N,
eiv,Askopan,1,1,L,2,,,,N,N,
asc,"Asmat, Casuarina Coast",1,1,L,4,,1994,Yes,N,Y,asc
cns,"Asmat, Central",1,1,L,4,,1985,1966-1976,N,Y,cns
nks,"Asmat, North",1,1,L,2,,,,N,N,
asy,"Asmat, Yaosakor",1,1,L,4,,1995,Yes,N,Y,
asv,Asoa,1,1,L,2,,,,N,N,
asm,Assamese,345,,L,5,1833-2022,1819-1993,1822-1974,Y,Y,asm
sjg,Assangori,2,2,L,2,,,,N,Y,
asb,Assiniboine,2,2,N,0,,,,N,Y,
aii,"Assyrian Neo-Aramaic",19,19,L,5,1852-1966,1846-2002,1840-1993,Y,Y,aii
ast,Asturian,2,2,L,5,2021,1997,1871-1991,N,N,ast
aum,"Asu (Nigeria)",1,1,L,2,,,,N,N,
asa,"Asu (Tanzania)",1,1,L,4,,1922-1967,1910-1960,Y,Y,asa
aua,Asumboa,,,N,2,,,,N,N,
asr,Asuri,1,,L,4,,2023-2025,Yes,N,Y,
